"Predator.lifestage","Type.of.feeding.interaction","Location","Intercept","Slope","R.squared","F-statistic","P.value"
"adult","piscivorous","Apalachicola Bay, Florida",6.96676095437557,0.315601167257102,0.13840835729043,13.4939818773465,0.000420131370657528
"adult","piscivorous","Atlantic Ocean",6.29080531131292,0.260141577182125,0.167648928394048,2213.9660580383,0
"adult","piscivorous","Cape Cod Bay, Gulf of Maine, New England",12.3638007966521,-0.000755719487485046,1.05682888325648e-05,0.000739788036573185,0.978378371318796
"adult","piscivorous","Eastern Mediterranean",2.84395790386422,0.652009130082474,0.621375968997542,205.142805962542,3.90742334690268e-28
"adult","piscivorous","Europe, Celtic Sea ecosystem",5.19728082521118,0.446320367632758,0.360856572626597,1179.43695879791,2.57239252512267e-205
"adult","piscivorous","French Polynesian EEZ",9.80728447063068,-0.00344440892783919,0.000137077297159917,0.257603552962263,0.611830912872529
"adult","piscivorous","Great Channel South, Gulf of Maine, New England",10.77512339479,0.275645033772453,0.236407118878563,224.458825408694,2.09079088296464e-44
"adult","piscivorous","Great South Bay, Long Island, New York",3.04781706869486,0.381984962733834,0.268430572529679,108.242657392169,8.43412441946404e-22
"adult","piscivorous","Gulf of Maine, New England",12.140634178118,0.0637787507225842,0.00369890195870809,0.293298135786887,0.589638854188319
"adult","piscivorous","Jeffreys Ledge, Gulf of Maine, New England",11.3795272341052,0.107808454068974,0.0955172500566943,40.8688565638844,4.69052308103837e-10
"adult","piscivorous","Mid Atlantic",4.15309731870386,0.102300793203792,0.0484716094614919,3.7186777881492,0.057696021578097
"adult","piscivorous","Off the Bay of Biscay",10.6433842999675,0.192985490250414,0.142626808084677,59.2217533239127,1.39971967104666e-13
"adult","piscivorous","South of Marthas Vineyard, New England",9.90592950591141,0.486799091516025,0.136288598876772,2.20911797828936,0.159367429953626
"adult","piscivorous","Stellwagen Bank, Gulf of Maine, New England",11.7923413214184,0.108492499541347,0.0385393345397017,20.2024121275003,8.65041891346206e-06
"adult","planktivorous","Eastern Mediterranean",1.5578783039798,-0.188526023745906,0.000777961069261578,0.0140142017500867,0.90707639795372
"adult","planktivorous","French Polynesian EEZ",10.2425928591287,0.0631832278723198,0.0480008709870067,6.85727355759358,0.00982944116500025
"adult","predacious","Atlantic Ocean",6.89914238491722,0.205892717694039,0.168513283612109,1031.15969277666,3.52233438038376e-206
"adult","predacious","Cape Cod Bay, Gulf of Maine, New England",12.667694092929,0.0294846614061537,0.0302655879145218,0.436942554087641,0.5193323188638
"adult","predacious","Eastern Mediterranean",1.77465298135466,0.17111969518826,0.023231298638501,5.18487447041866,0.0237546050509444
"adult","predacious","French Polynesian EEZ",9.75686769613361,-0.0138206603455201,0.00181756641442431,3.62354319511703,0.0571115661405263
"adult","predacious","Great Channel South, Gulf of Maine, New England",12.5263754272109,0.357253501132577,0.197889961568321,5.42765823379465,0.029396257236946
"adult","predacious","Gulf of Maine, New England",12.0317192583854,-5.8170431150463e-15,0.422621943704169,2.19590235078641,0.234984064200683
"adult","predacious","Jeffreys Ledge, Gulf of Maine, New England",11.7555841576777,-0.0283090245871123,0.00621738162868253,0.218969775664341,0.642726920235097
"adult","predacious","Mid Atlantic",3.76625484911866,0.358208680187523,0.657742185314355,69.1838656571366,6.67328707353885e-10
"adult","predacious","Off the Bay of Biscay",10.4197372146788,0.203506978120733,0.0873452550974306,45.0768654638197,5.46572575916824e-11
"adult","predacious","South of Marthas Vineyard, New England",10.1808028012821,0.0583894765003328,0.00265210461319651,0.071797238343331,0.790774221951647
"adult","predacious","Stellwagen Bank, Gulf of Maine, New England",12.6221600511456,0.182768954519518,0.206194400151178,1.29877138804795,0.306072332500699
"adult","predacious/piscivorous","Apalachicola Bay, Florida",4.72504035144858,0.621895377669316,0.384283752048305,34.9509862477974,2.11324894527804e-07
"adult","predacious/piscivorous","Crooked Island Sound, Florida",4.7948478408458,0.50644882649248,0.293713022751524,42.0013624114544,3.37813443070404e-09
"juvenile","piscivorous","Apalachicola Bay, Florida",7.61765814929771,0.255431068910441,0.0622128331867772,1.7911809368762,0.191944478653284
"juvenile","piscivorous","Off the Bay of Biscay",8.62335338724459,-3.07653900653271e-15,0.499856193150871,2975.2880404236,0
"juvenile","piscivorous","W Greenland",1.27848314402828,0.709121551017255,0.62039772600606,31.0523872001444,2.25023100017495e-05
"juvenile","planktivorous","Gulf of Alaska",2.61342271573401,0.168911383542265,1,NA,NA
"juvenile","predacious","Gulf of Alaska",1.03740927157129,0.049375200497881,0.233159571052914,12.4661429579231,0.00103966946595515
"juvenile","predacious","Off the Bay of Biscay",8.62335338724462,-6.27387258282986e-17,0.498159615814718,595.599276001025,6.80702862402824e-92
"juvenile","predacious","Oxwich Bay, Wales",-0.594631029295368,0.0778070237368167,0.080545974091978,115.021372469738,8.77947893508195e-26
"juvenile","predacious","W Greenland",-0.222974995676025,0.211068293434798,0.28726820046152,56.4273238413876,6.25892370613664e-12
"larva","planktivorous","Antarctic Peninsula",11.1598881317021,1.02077538176859,0.330043815585916,156.165271662109,2.07689904818993e-29
"larva","planktivorous","Catalan Sea",-2.19426552537672,0.25765387239584,0.280072857461197,170.005867925651,4.70821273070404e-33
"larva","planktivorous","Greenland",-2.05086434618492,0.258813702633504,0.0982205090743172,5.1191715634985,0.0283256454055265
"larva","planktivorous","Western North Pacific",-3.4487184256598,0.161010317505002,0.0857054685549194,20.2477216817681,1.11138645151157e-05
"larva","predacious","Andaman Sea (West of South Thailand)",7.00529694337674,0.941421745921813,0.412420670135113,22.4607312979481,4.23336436449333e-05
"larva","predacious","Antarctic Peninsula",7.41883913802823,0.724801160896601,0.637066906559136,1662.29636099526,1.22794430266788e-210
"larva","predacious","Western North Pacific",-2.66286554355492,0.150488902922313,0.146191921213292,38.8677115383767,2.1873875125151e-09
"larva / juvenile","insectivorous","Strait of Georgia",3.60032838802313,0.384249046154572,0.125577629410637,4.30836287934849,0.0465944025225444
"larva / juvenile","piscivorous","Strait of Georgia",4.96732009411791,0.652630804441673,0.502262057547569,9.08180416316188,0.0146301686798565
"larva / juvenile","planktivorous","Strait of Georgia",5.083129495985,0.537539976546299,0.2383099678989,36.9186611704769,1.55071505486174e-08
"larva / juvenile","predacious","NE North Sea and Skaggerak",10.4119448445479,1.09890063283713,0.71542157959282,47.7654278662958,1.36957984453216e-06
"larva / juvenile","predacious","Strait of Georgia",8.33400945206011,0.88300095710698,0.489751949277145,445.36163174492,8.46774084694612e-70
"postlarva","piscivorous","Antarctic Peninsula",-2.52746573405741,0.106773528674382,0.038969869305227,1.25705314524184,0.270820006991041
"postlarva","predacious","Antarctic Peninsula",-1.61375195212254,0.15403834606651,0.109207422360888,8.58170550266892,0.00458060708606847
"postlarva/juvenile","piscivorous","Antarctic Peninsula",0.242446120869743,NA,0,NA,NA
"postlarva/juvenile","planktivorous","Antarctic Peninsula",6.81310614810304,0.675479706794874,0.231238785388308,78.8080363840136,1.10590667174271e-16
"postlarva/juvenile","predacious","Antarctic Peninsula",1.94865346657022,0.232955400394707,0.144074981970457,98.9760640408157,1.17383192983129e-21
